,Content_Based,Collaborative_Filtering_UserBased,Collaborative_Filtering_ItemBased,Collaborative_Filtering_SVD(Surprise),"Collaborative_Filtering_Manual
(appended_user_property_for_similarity)",Trending_Only,Hybrid : SVD + Content + Trending10)
rmse_value,1.9983177144142321,2.4974052617033258,2.567832304007756,1.1554860100027693,2.49379960101961,0.9437089240745513,1.1503266022499723
mae_value,1.8777974464841252,2.239210525797994,2.29311521539852,0.7546335252399549,2.2371733780346457,0.5406217643412721,0.9419376516004123
precision,0.007193381592554292,0.008153050672182006,0.0002109617373319545,0.010744040452684806,0.008426059979317477,0.006470028544243577,0.006470028544243577
recall,0.13336912339903367,0.15116189891862872,0.003911342894393742,0.17110207838024388,0.1562236367819618,0.10430247718383312,0.10430247718383312
f1_score_value,0.013650510814831096,0.015471625541134038,0.00040033125448900856,0.020218497523664523,0.01598970128223746,0.012184250959733738,0.012184250959733738
mrr,0.056070147655944466,0.19525760501819509,0.059813292611574705,0.14025209546989306,0.20424617245110008,0.1262148667780595,0.1262148667780595
ndcg,1.421299350085179,1.431512136539509,1.538636688667295,1.389678064705657,1.4312831297204722,1.472959680918351,1.472959680918351
map_value,0.132976612443266,0.1570380532835026,0.09489778555075466,0.1177028189440892,0.16460688402211116,0.1090873085758375,0.1090873085758375
